 Wavelength  FilterTrans          PCE 
        0.5  2.43052e-05  1.77495e-08 
      0.501  1.51052e-05  1.25146e-08 
      0.502  4.77507e-05  4.54436e-08 
      0.503  2.95831e-05  3.18442e-08 
      0.504  5.66107e-05  6.80784e-08 
      0.505  7.61552e-06  1.04974e-08 
      0.506  3.51606e-05  5.47101e-08 
      0.507  7.82389e-05   1.3769e-07 
      0.508  2.46304e-05  4.90382e-08 
      0.509  4.90328e-05  1.11508e-07 
       0.51  3.39538e-05  8.69534e-08 
      0.511  8.99456e-06  2.63109e-08 
      0.512  0.000168043  5.57762e-07 
      0.513  0.000150086  5.65797e-07 
      0.514  5.03128e-05  2.15092e-07 
      0.515  8.54766e-05  4.13526e-07 
      0.516  0.000158874  8.71584e-07 
      0.517  0.000146209  9.05523e-07 
      0.518   0.00010786   7.5661e-07 
      0.519  0.000111117  8.83372e-07 
       0.52  0.000174405  1.56555e-06 
      0.521  0.000144796  1.46148e-06 
      0.522  2.01046e-05  2.25771e-07 
      0.523  4.18156e-05  5.13194e-07 
      0.524  4.90749e-05  6.49827e-07 
      0.525  2.68139e-05  3.80043e-07 
      0.526  3.72029e-05  5.59399e-07 
      0.527  3.49498e-05  5.54188e-07 
      0.528  2.89176e-05  4.82453e-07 
      0.529  7.01126e-05  1.22639e-06 
       0.53  8.29394e-05  1.52409e-06 
      0.531  3.20235e-06  6.21597e-08 
      0.532  2.05434e-05  4.22023e-07 
      0.533  4.49918e-05  9.78485e-07 
      0.534  7.97869e-05  1.83514e-06 
      0.535  2.64742e-05  6.43953e-07 
      0.536  4.67599e-05  1.20048e-06 
      0.537   0.00014519  3.93309e-06 
      0.538  0.000125507  3.58531e-06 
      0.539  9.12035e-05  2.74481e-06 
       0.54  0.000122346  3.87453e-06 
      0.541  7.44976e-05   2.4805e-06 
      0.542   5.5681e-05  1.94763e-06 
      0.543  2.42901e-05  8.92029e-07 
      0.544  1.00952e-05  3.88426e-07 
      0.545  4.91507e-05  1.98087e-06 
      0.546  2.18329e-05  9.20082e-07 
      0.547  1.51101e-05  6.65448e-07 
      0.548  1.34298e-05  6.16084e-07 
      0.549  1.15183e-05  5.49802e-07 
       0.55  5.92434e-05  2.93977e-06 
      0.551   3.5428e-05  1.82622e-06 
      0.552   5.0247e-05  2.69231e-06 
      0.553   4.6653e-05  2.59915e-06 
      0.554  7.62721e-05  4.42515e-06 
      0.555  0.000151318  9.15366e-06 
      0.556  0.000161149  1.02082e-05 
      0.557  8.06902e-05  5.36378e-06 
      0.558   7.9341e-05   5.5363e-06 
      0.559  0.000144173  1.05551e-05 
       0.56  0.000201957  1.54864e-05 
      0.561  0.000155981  1.25037e-05 
      0.562  7.86361e-05  6.55387e-06 
      0.563  0.000136529  1.17876e-05 
      0.564  0.000105182  9.37528e-06 
      0.565  9.49847e-06  8.72445e-07 
      0.566  4.34514e-05  4.10377e-06 
      0.567  5.90523e-05  5.72715e-06 
      0.568  3.05399e-05  3.03872e-06 
      0.569   3.5656e-06  3.63749e-07 
       0.57  7.59334e-05  7.94264e-06 
      0.571  4.07717e-06  4.37414e-07 
      0.572   3.5239e-05  3.88392e-06 
      0.573  1.22333e-05  1.38929e-06 
      0.574  2.00894e-05  2.34925e-06 
      0.575  2.59825e-05  3.13079e-06 
      0.576  6.51436e-05  8.08433e-06 
      0.577  0.000124539  1.59047e-05 
      0.578  9.98129e-05  1.31151e-05 
      0.579  6.84594e-05  9.24784e-06 
       0.58  0.000118303   1.6415e-05 
      0.581  0.000154801  2.20222e-05 
      0.582  0.000110755  1.61437e-05 
      0.583  0.000148854  2.22071e-05 
      0.584   0.00016976  2.58949e-05 
      0.585  7.54162e-05  1.17594e-05 
      0.586  1.45133e-05  2.31116e-06 
      0.587  3.79038e-06  6.16457e-07 
      0.588  1.58985e-05  2.63789e-06 
      0.589  1.37199e-05  2.32303e-06 
       0.59   3.2724e-05  5.65215e-06 
      0.591  5.75429e-05  1.01376e-05 
      0.592  4.49936e-05  8.08494e-06 
      0.593  2.07552e-05  3.80497e-06 
      0.594  8.36683e-05   1.5652e-05 
      0.595  0.000131618  2.51605e-05 
      0.596  3.64843e-05  7.05097e-06 
      0.597  3.47944e-05  6.79911e-06 
      0.598  0.000195675   3.8665e-05 
      0.599  0.000220686  4.41024e-05 
        0.6  8.01257e-05  1.61888e-05 
      0.601  9.49762e-05  1.95673e-05 
      0.602  0.000227445  4.77659e-05 
      0.603  0.000174255  3.73137e-05 
      0.604  5.76996e-05  1.25921e-05 
      0.605  6.73001e-05  1.49673e-05 
      0.606  0.000120624  2.73406e-05 
      0.607  7.83236e-05  1.80849e-05 
      0.608  4.37922e-05  1.03006e-05 
      0.609  1.46521e-05  3.50991e-06 
       0.61  3.83082e-05  9.34676e-06 
      0.611  3.84217e-05  9.53273e-06 
      0.612  4.35455e-05  1.09852e-05 
      0.613  1.95016e-05  5.00168e-06 
      0.614  2.24743e-05  5.86061e-06 
      0.615  5.11442e-06  1.35588e-06 
      0.616  6.35863e-05   1.7129e-05 
      0.617  9.37084e-05  2.56583e-05 
      0.618  7.88596e-05  2.19389e-05 
      0.619   7.6144e-05   2.1525e-05 
       0.62  0.000153892  4.42057e-05 
      0.621  0.000172148  5.01789e-05 
      0.622  8.98041e-05  2.65653e-05 
      0.623  7.15008e-05   2.1457e-05 
      0.624  0.000165787  5.04918e-05 
      0.625  0.000180389  5.57354e-05 
      0.626  6.49374e-05  2.03522e-05 
      0.627  9.32424e-05  2.96446e-05 
      0.628   0.00018477  5.95729e-05 
      0.629   6.7352e-05  2.20253e-05 
       0.63  1.95623e-05   6.4866e-06 
      0.631   7.2524e-05  2.43661e-05 
      0.632  7.82073e-05  2.66142e-05 
      0.633  9.22572e-05     3.18e-05 
      0.634  0.000160942  5.61995e-05 
      0.635  0.000140642  4.97301e-05 
      0.636  6.96825e-05  2.49544e-05 
      0.637  0.000129764  4.70613e-05 
      0.638  0.000241563  8.87081e-05 
      0.639  0.000171663  6.38206e-05 
       0.64  7.91472e-05  2.97884e-05 
      0.641  0.000146086  5.56479e-05 
      0.642  0.000194094  7.48273e-05 
      0.643  0.000110569  4.31415e-05 
      0.644   3.9295e-05  1.55155e-05 
      0.645  0.000130831  5.22679e-05 
      0.646   0.00017803  7.19688e-05 
      0.647  8.67337e-05  3.54654e-05 
      0.648  1.85166e-05  7.66067e-06 
      0.649  3.82951e-05  1.60275e-05 
       0.65  1.58062e-05  6.69052e-06 
      0.651  4.52868e-05  1.93772e-05 
      0.652  3.90335e-05  1.68807e-05 
      0.653  2.51093e-05  1.09742e-05 
      0.654  6.26558e-05  2.76728e-05 
      0.655  6.20115e-06  2.76757e-06 
